fold,cronbach_alpha,ordinal_alpha,omega,kmo
1,0.6449002820554794,0.6699975120606029,0.6719130111941181,0.7208755084289741
2,0.6437383178745884,0.6696205809542776,0.6716117605680144,0.7205808156493835
3,0.6439086677525631,0.6684954935468598,0.6699843420560863,0.7165681503684733
4,0.6389361250203263,0.6632332797216618,0.6652925890296181,0.71786519809939
5,0.6432926949555463,0.6672304389613074,0.6690546779220702,0.7187722123035668
Mean ± SD,0.643 ± 0.002,0.668 ± 0.002,0.670 ± 0.002,0.719 ± 0.002
